,Title,1st_topic,1st_topic_percentage,2nd_topic,2nd_topic_percentage
0,MCNN: A deep learning based rapid diagnosis method for COVID-19 from the X-ray images,1.0,45.45,4.0,14.05
1,French-language COVID-19 terminology International or localized?,5.0,22.91,6.0,20.07
2,Exploring working group's psychological subjectivity on public smart work services in a cloud-based social networking,6.0,34.31,3.0,20.3
3,A novel virtual screening procedure identifies Pralatrexate as inhibitor of SARS-CoV-2 RdRp and it reduces viral replication in vitro,2.0,57.95,4.0,8.98
4,"Geospatial mapping, Epidemiological modelling, Statistical correlation and analysis of COVID-19 with Forest cover and Population in the districts of Tamil Nadu, India",4.0,48.29,5.0,20.05
5,The Use of UTAUT Model for Understanding Academicians' Perception towards Online Faculty Development Programs (FDP),0.0,28.02,6.0,25.85
6,A Novel Medical Support Deep Learning Fusion Model for the Diagnosis of COVID-19,1.0,39.62,5.0,14.22
7,Coverage COVID 19 with E-Learning Replacement: Review Paper,0.0,26.0,6.0,17.96
8,Refute the Decision of Auto-Promotion and Real Facts of Digital Online Classes during the Pandemic in Bangladesh,0.0,29.19,6.0,20.69
9,Social Distance Alert System to Control Virus Spread using UWB RTLS in Corporate Environments,3.0,36.06,4.0,15.44
10,"Time Series Forecasting of Registered, Recovered, and Death Cases of COVID-19 for the Next Sixty Days in Afghanistan",4.0,55.53,5.0,10.61
11,Automatic Healthcare Diagnosis and Prediction Assessment based on AI Multi-Classification Algorithm,1.0,44.2,0.0,15.76
12,Systemic in Silico Screening in Drug Discovery for Coronavirus Disease (COVID-19) with an Online Interactive Web Server,2.0,41.4,5.0,16.04
13,"The COVID-19 outbreak in Sichuan, China: Epidemiology and impact of interventions",4.0,45.04,2.0,15.47
14,Supercomputer-Based Ensemble Docking Drug Discovery Pipeline with Application to Covid-19,2.0,44.59,1.0,16.68
15,Interactive Molecular Dynamics in Virtual Reality Is an Effective Tool for Flexible Substrate and Inhibitor Docking to the SARS-CoV-2 Main Protease,2.0,46.61,0.0,16.91
16,PRIMoRDiA: A Software to Explore Reactivity and Electronic Structure in Large Biomolecules,2.0,30.84,3.0,14.81
17,Molecular Dynamics Reveals a DNA-Induced Dynamic Switch Triggering Activation of CRISPR-Cas12a,2.0,51.65,6.0,10.23
18,SARS-CoV-2 Main Protease: A Molecular Dynamics Study,2.0,55.59,6.0,9.41
19,Computational Prediction of Mutational Effects on SARS-CoV-2 Binding by Relative Free Energy Calculations,2.0,56.48,5.0,8.83
20,Structure-Based Virtual Screening to Discover Potential Lead Molecules for the SARS-CoV-2 Main Protease,2.0,59.25,4.0,9.38
21,Computational Determination of Potential Inhibitors of SARS-CoV-2 Main Protease,2.0,63.86,4.0,9.09
22,"Discovery of New Hydroxyethylamine Analogs against 3CLproProtein Target of SARS-CoV-2: Molecular Docking, Molecular Dynamics Simulation, and Structure-Activity Relationship Studies",2.0,65.04,0.0,6.79
23,"Decoding SARS-CoV-2 Transmission and Evolution and Ramifications for COVID-19 Diagnosis, Vaccine, and Medicine",2.0,50.22,6.0,10.37
24,Bioactivity Profile Similarities to Expand the Repertoire of COVID-19 Drugs,2.0,44.06,5.0,12.77
25,COVID-19 mRNA Vaccine Degradation Prediction using Regularized LSTM Model,2.0,26.77,4.0,17.24
26,A Deep Transfer Learning Approach to Diagnose Covid-19 using X-ray Images,1.0,46.84,4.0,12.06
27,mVote: A Mobile Voting System to Conduct Election during COVID-19 Pandemic,3.0,23.77,1.0,17.8
28,Severity Monitoring Device for COVID-19 Positive Patients,3.0,41.45,1.0,12.96
29,Exploring Natural Language Processing Techniques in Social Media Analysis during a Pandemic: Understanding a corpus of Facebook posts using Word2vec and LDA,5.0,46.27,6.0,17.01
30,Few-Shot Legal Knowledge Question Answering System for COVID-19 Epidemic,5.0,25.51,4.0,18.29
31,Analysis of the European stock market's advance response time to COVID-19 based on Pearson correlation Coefficient,4.0,35.76,6.0,24.53
32,COVID-19 Diagnosis Systems Based on Deep Convolutional Neural Networks Techniques: A Review,1.0,47.76,4.0,11.64
33,COVID-19 Diagnosis from Chest X-ray Images Using Deep Learning Approach,1.0,57.65,2.0,9.04
34,A Fusion Scheme of Texture Features for COVID-19 Detection of CT Scan Images,1.0,51.1,2.0,10.11
35,SAARSNet: A Deep Neural Network for COVID-19 Cases Diagnosis,1.0,43.56,4.0,17.07
36,Effectiveness of 'Maghzineh' Cognitive Games on Response Inhibition of Children with Externalizing Emotional Behavioral Disorders,6.0,24.94,2.0,19.15
37,A machine learning method based on lesion segmentation for quantitative analysis of CT radiomics to detect COVID-19,1.0,53.2,4.0,13.92
38,Clustering of Infected Patients by COVID-19 Using Self-Organized Mapping and Extracting the Most Important Clinical Features,1.0,38.43,5.0,15.53
39,Integration of electric vehicles in smart grid using deep reinforcement learning,1.0,23.72,5.0,19.99
40,Targeted vaccination for COVID-19 using mobile communication networks,4.0,28.55,1.0,16.88
41,Can COVID-19 Change the Big5 Personality Traits of Healthcare Workers?,6.0,26.68,5.0,19.35
